标签名,出现次数,位置(行号:路径)
休闲长袍,2,8137:V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/长袍/休闲长袍 || 11203:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/长袍/休闲长袍
休闲长裤,2,8111:V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/裤子/休闲长裤 || 11177:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/裤子/休闲长裤
休闲长裤套装,2,7938:V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/一套衣服/休闲长裤套装 || 11004:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/一套衣服/休闲长裤套装
优胜者,2,2524:V2融合世界标签体系/通用分类标签/人物与人体/参赛者/优胜者 || 2540:V2融合世界标签体系/通用分类标签/人物与人体/参赛者/挑战者/优胜者
伙伴,2,1993:V2融合世界标签体系/通用分类标签/人物与人体/亲属/伙伴 || 2552:V2融合世界标签体系/通用分类标签/人物与人体/同居伴侣/伙伴
会堂,2,17460:V2融合世界标签体系/通用分类标签/建筑与基础设施/会堂 || 17669:V2融合世界标签体系/通用分类标签/建筑与基础设施/区/室/会堂
伞,2,10811:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/保护/庇护所/华盖/伞 || 10812:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/保护/庇护所/华盖/伞/伞
伞兵跳伞服,2,7976:V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/伞兵跳伞服 || 11042:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/伞兵跳伞服
伞裙,2,8050:V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/女裙/伞裙 || 11116:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/女裙/伞裙
传动系统,2,9589:V2融合世界标签体系/通用分类标签/人造物体/机制/齿轮/传动系统 || 26039:V2融合世界标签体系/通用分类标签/行为动作/传动系统
传动轴,2,8308:V2融合世界标签体系/通用分类标签/人造物体/器具/杆/旋转轴/传动轴 || 8309:V2融合世界标签体系/通用分类标签/人造物体/器具/杆/旋转轴/传动轴
传染病,2,31049:V2融合世界标签体系/通用分类标签/属性与状态/形势/生理状态/病理状态/不健康/生病/传染性疾病/传染病 || 31050:V2融合世界标签体系/通用分类标签/属性与状态/形势/生理状态/病理状态/不健康/生病/传染性疾病/传染病/传染病
传真,2,7202:V2融合世界标签体系/通用分类标签/人造物体/仪器/复制机/传真 || 26041:V2融合世界标签体系/通用分类标签/行为动作/传真
传送带,2,31211:V2融合世界标签体系/通用分类标签/属性与状态/线/曲线/封闭曲线/简单封闭性状/圈/传送带 || 31212:V2融合世界标签体系/通用分类标签/属性与状态/线/曲线/封闭曲线/简单封闭性状/圈/传送带/传送带
伤口,2,31038:V2融合世界标签体系/通用分类标签/属性与状态/形势/生理状态/病理状态/不健康/伤害/伤口 || 31039:V2融合世界标签体系/通用分类标签/属性与状态/形势/生理状态/病理状态/不健康/伤害/伤口/伤口
伤害,2,26380:V2融合世界标签体系/通用分类标签/行为动作/完整性变化/伤害 || 31036:V2融合世界标签体系/通用分类标签/属性与状态/形势/生理状态/病理状态/不健康/伤害
伤风,2,31052:V2融合世界标签体系/通用分类标签/属性与状态/形势/生理状态/病理状态/不健康/生病/传染性疾病/伤风 || 31054:V2融合世界标签体系/通用分类标签/属性与状态/形势/生理状态/病理状态/不健康/生病/呼吸疾病/伤风
伸出,2,26046:V2融合世界标签体系/通用分类标签/行为动作/伸出 || 26048:V2融合世界标签体系/通用分类标签/行为动作/伸出
伸展,2,26049:V2融合世界标签体系/通用分类标签/行为动作/伸展 || 31100:V2融合世界标签体系/通用分类标签/属性与状态/无定形/广阔区域/伸展
位置,2,30999:V2融合世界标签体系/通用分类标签/属性与状态/形势/位置 || 31953:V2融合世界标签体系/通用分类标签/知识与学科/一块土地/位置
低音吉他,2,3202:V2融合世界标签体系/通用分类标签/人造物体/中西乐器/弦乐器/六弦琴/低音吉他 || 29911:V2融合世界标签体系/通用分类标签/声音/乐器/拨弦乐器/吉他/低音吉他
低音提琴,2,3212:V2融合世界标签体系/通用分类标签/人造物体/中西乐器/弦乐器/弓弦乐器/低音提琴 || 29883:V2融合世界标签体系/通用分类标签/声音/乐器/弓弦乐器/低音提琴
住宅区,2,17540:V2融合世界标签体系/通用分类标签/建筑与基础设施/住宅区 || 17541:V2融合世界标签体系/通用分类标签/建筑与基础设施/住宅区
住房,2,10223:V2融合世界标签体系/通用分类标签/人造物体/用具/平头钉/住房 || 10753:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/保护/住房
体育,2,2213:V2融合世界标签体系/通用分类标签/人物与人体/体育 || 25945:V2融合世界标签体系/通用分类标签/行为动作/休养/体育
体育协会,2,23510:V2融合世界标签体系/通用分类标签/组织机构与社会事件/体育协会 || 26062:V2融合世界标签体系/通用分类标签/行为动作/体育协会
体育运动,2,1634:V2融合世界标签体系/通用分类标签/人物与人体/职业身份/运动员/体育运动 || 26423:V2融合世界标签体系/通用分类标签/行为动作/岗位/体育运动
体重秤,2,7089:V2融合世界标签体系/通用分类标签/人造物体/乐器/器械/仪器/秤/体重秤 || 31486:V2融合世界标签体系/通用分类标签/时间数量与度量/度量/体重秤
作品,2,18778:V2融合世界标签体系/通用分类标签/文化艺术与媒介/作品 || 30816:V2融合世界标签体系/通用分类标签/属性与状态/作品
作战服,2,7818:V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/制服/军服/作战服 || 10884:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/制服/军服/作战服
作曲,2,19174:V2融合世界标签体系/通用分类标签/文化艺术与媒介/通过心智活动创造/作曲 || 30130:V2融合世界标签体系/通用分类标签/声音/作曲
作训服,2,7819:V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/制服/军服/作训服 || 10885:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/制服/军服/作训服
使聚拢,2,2230:V2融合世界标签体系/通用分类标签/人物与人体/使聚拢 || 26104:V2融合世界标签体系/通用分类标签/行为动作/使聚拢
供应,2,26106:V2融合世界标签体系/通用分类标签/行为动作/供应 || 31333:V2融合世界标签体系/通用分类标签/时间数量与度量/不定量/供应
供膳食的寄宿处,2,17410:V2融合世界标签体系/通用分类标签/建筑与基础设施/H类住宅/供膳食的寄宿处 || 17484:V2融合世界标签体系/通用分类标签/建筑与基础设施/住宅/住处/H类住宅/供膳食的寄宿处
依附,2,26110:V2融合世界标签体系/通用分类标签/行为动作/依附 || 26111:V2融合世界标签体系/通用分类标签/行为动作/依附
侧柏,2,20035:V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/针叶树/侧柏 || 20036:V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/针叶树/侧柏/侧柏
便利设施,2,7317:V2融合世界标签体系/通用分类标签/人造物体/便利设施 || 7319:V2融合世界标签体系/通用分类标签/人造物体/便利设施
便携式电池,2,10291:V2融合世界标签体系/通用分类标签/人造物体/电力设备/电池/便携式电池 || 10292:V2融合世界标签体系/通用分类标签/人造物体/电力设备/电池/便携式电池
便服,2,7815:V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/便服 || 10881:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/便服
便礼服上衣,2,7998:V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/外衣/外套/夹克/便礼服上衣 || 11064:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/外衣/外套/夹克/便礼服上衣
俄国的乡间邸宅,2,17394:V2融合世界标签体系/通用分类标签/建筑与基础设施/H类住宅/乡村别墅/俄国的乡间邸宅 || 17468:V2融合世界标签体系/通用分类标签/建筑与基础设施/住宅/住处/H类住宅/乡村别墅/俄国的乡间邸宅
保护,2,10749:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/保护 || 26113:V2融合世界标签体系/通用分类标签/行为动作/保护
保暖长内衣,2,7952:V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/不可言说之物/内衣/保暖长内衣 || 11018:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/不可言说之物/内衣/保暖长内衣
保温杯,2,4342:V2融合世界标签体系/通用分类标签/人造物体/厨房餐厨用品/餐具/陶瓷餐具/杯/保温杯 || 4378:V2融合世界标签体系/通用分类标签/人造物体/厨房餐厨用品/保温杯
保温瓶,2,8731:V2融合世界标签体系/通用分类标签/人造物体/容器/器皿/瓶/烧瓶/保温瓶 || 8732:V2融合世界标签体系/通用分类标签/人造物体/容器/器皿/瓶/烧瓶/保温瓶/保温瓶
保险气袋,2,8606:V2融合世界标签体系/通用分类标签/人造物体/容器/包/保险气袋 || 10502:V2融合世界标签体系/通用分类标签/人造物体/约束/保险气袋
保鲜膜,2,10861:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/包装/保鲜膜 || 10862:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/包装/保鲜膜/保鲜膜
保龄球运动,2,24784:V2融合世界标签体系/通用分类标签/行为动作/休闲娱乐动作/游戏/保龄球运动 || 26119:V2融合世界标签体系/通用分类标签/行为动作/保龄球运动
信箱,2,9030:V2融合世界标签体系/通用分类标签/人造物体/开口/狭缝/投币口/信箱 || 10711:V2融合世界标签体系/通用分类标签/人造物体/装置/保管人/储藏所/邮件投递点/信箱
修剪,2,26121:V2融合世界标签体系/通用分类标签/行为动作/修剪 || 26122:V2融合世界标签体系/通用分类标签/行为动作/修剪/修剪
修枝剪刀,2,7436:V2融合世界标签体系/通用分类标签/人造物体/切割器具/切削工具/刃具/一把剪刀/大剪刀/修枝剪刀 || 8352:V2融合世界标签体系/通用分类标签/人造物体/器具/棒/杠杆/复式杠杆/一把剪刀/大剪刀/修枝剪刀
修饰,2,10071:V2融合世界标签体系/通用分类标签/人造物体/点缀/修饰 || 30819:V2融合世界标签体系/通用分类标签/属性与状态/修饰
倒挂金钟,2,20557:V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/灌木/倒挂金钟 || 22278:V2融合世界标签体系/通用分类标签/植物/草本植物/倒挂金钟
倒立,2,18757:V2融合世界标签体系/通用分类标签/文化艺术与媒介/体育锻炼/体操练习/倒立 || 18758:V2融合世界标签体系/通用分类标签/文化艺术与媒介/体育锻炼/体操练习/倒立
倾向,2,18780:V2融合世界标签体系/通用分类标签/文化艺术与媒介/倾向 || 26129:V2融合世界标签体系/通用分类标签/行为动作/倾向
假主教帽花,2,21894:V2融合世界标签体系/通用分类标签/植物/显花植物/开花植物/野花/假主教帽花 || 22279:V2融合世界标签体系/通用分类标签/植物/草本植物/假主教帽花
假松露,2,22982:V2融合世界标签体系/通用分类标签/真菌与微生物/菌类/假松露 || 22984:V2融合世界标签体系/通用分类标签/真菌与微生物/菌类/假松露
假果,2,24357:V2融合世界标签体系/通用分类标签/自然景观/植物结构/植物器官/生殖结构/果子/假果 || 24358:V2融合世界标签体系/通用分类标签/自然景观/植物结构/植物器官/生殖结构/果子/假果
假靛蓝,2,20498:V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/假靛蓝 || 20621:V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/灌木/棉条/假靛蓝
停车,2,652:V2融合世界标签体系/通用分类标签/交通工具/停车 || 27034:V2融合世界标签体系/通用分类标签/行为动作/选择/决定/机动动作/停车
健身训练,2,15623:V2融合世界标签体系/通用分类标签/场景/体育娱乐场景/健身训练 || 25067:V2融合世界标签体系/通用分类标签/行为动作/体育运动动作/健身训练
健身课程,2,26139:V2融合世界标签体系/通用分类标签/行为动作/健身课程 || 26989:V2融合世界标签体系/通用分类标签/行为动作/课/健身课程
傍晚天空,2,31999:V2融合世界标签体系/通用分类标签/知识与学科/傍晚天空 || 32000:V2融合世界标签体系/通用分类标签/知识与学科/傍晚天空
储蓄罐,2,16975:V2融合世界标签体系/通用分类标签/建筑与基础设施/商业办公建筑/银行/储蓄罐 || 16976:V2融合世界标签体系/通用分类标签/建筑与基础设施/商业办公建筑/银行/储蓄罐
储藏室,2,17673:V2融合世界标签体系/通用分类标签/建筑与基础设施/区/室/储藏室 || 17674:V2融合世界标签体系/通用分类标签/建筑与基础设施/区/室/储藏室/储藏室
儿童喊叫,2,30049:V2融合世界标签体系/通用分类标签/声音/人类声音/人声/喊叫/儿童喊叫 || 30111:V2融合世界标签体系/通用分类标签/声音/人类群体行为/儿童喊叫
儿童防晒套装,2,7977:V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/儿童防晒套装 || 11043:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/儿童防晒套装
元首,2,2129:V2融合世界标签体系/通用分类标签/人物与人体/传播者/谈判者/代表/国家元首/元首 || 2795:V2融合世界标签体系/通用分类标签/人物与人体/摇摆者/元首
充气救生衣,2,9410:V2融合世界标签体系/通用分类标签/人造物体/救援设备/保护者/救生背心/充气救生衣 || 9936:V2融合世界标签体系/通用分类标签/人造物体/浮子/保护者/救生背心/充气救生衣
充气艇,2,763:V2融合世界标签体系/通用分类标签/交通工具/容器/充气艇 || 795:V2融合世界标签体系/通用分类标签/交通工具/容器/小船/小船/充气艇
先知,2,2692:V2融合世界标签体系/通用分类标签/人物与人体/宗教人士/先知 || 2893:V2融合世界标签体系/通用分类标签/人物与人体/智力/空想家/占卜者/先知
光刨,2,7471:V2融合世界标签体系/通用分类标签/人造物体/切割器具/切削工具/刃具/木工刨/光刨 || 9151:V2融合世界标签体系/通用分类标签/人造物体/手工工具/木工刨/光刨
光木耳,2,22987:V2融合世界标签体系/通用分类标签/真菌与微生物/菌类/光木耳 || 22988:V2融合世界标签体系/通用分类标签/真菌与微生物/菌类/光木耳/光木耳
克分子,2,31384:V2融合世界标签体系/通用分类标签/时间数量与度量/公制单位/公制重量单位/克分子 || 31609:V2融合世界标签体系/通用分类标签/时间数量与度量/质量单位/公制重量单位/克分子
克莱门氏小柑橘,2,20255:V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/乔木/开花乔木/果树/柑橘属/柑桔/克莱门氏小柑橘 || 29215:V2融合世界标签体系/通用分类标签/食物/农产品/食用水果/柑橘属/橘子/克莱门氏小柑橘
兔,2,12319:V2融合世界标签体系/通用分类标签/动物/哺乳动物/有胎盘的/兔 || 12324:V2融合世界标签体系/通用分类标签/动物/哺乳动物/有胎盘的/兔形目动物/兔科动物/兔
兔子,2,12325:V2融合世界标签体系/通用分类标签/动物/哺乳动物/有胎盘的/兔形目动物/兔科动物/兔/兔子 || 12333:V2融合世界标签体系/通用分类标签/动物/哺乳动物/有胎盘的/兔形目动物/兔科动物/兔子
兜鍪,2,7834:V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/头具/兜鍪 || 10900:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/头具/兜鍪
全地形车,2,654:V2融合世界标签体系/通用分类标签/交通工具/全地形车 || 655:V2融合世界标签体系/通用分类标签/交通工具/全地形车
全套服装,2,7905:V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/打扮/全套服装 || 10971:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/打扮/全套服装
全景,2,19101:V2融合世界标签体系/通用分类标签/文化艺术与媒介/表征/图像/全景 || 32338:V2融合世界标签体系/通用分类标签/知识与学科/知识/表征/知觉表象/视觉知觉/全景
全麦面包,2,27797:V2融合世界标签体系/通用分类标签/食物/烘焙甜品点心/面包/全麦面包 || 27798:V2融合世界标签体系/通用分类标签/食物/烘焙甜品点心/面包/全麦面包
公交车,2,656:V2融合世界标签体系/通用分类标签/交通工具/公交车 || 670:V2融合世界标签体系/通用分类标签/交通工具/公共运输/公交车
公交车内部,2,665:V2融合世界标签体系/通用分类标签/交通工具/公交车内部 || 666:V2融合世界标签体系/通用分类标签/交通工具/公交车内部
公共中庭,2,17653:V2融合世界标签体系/通用分类标签/建筑与基础设施/区/天井/中庭/公共中庭 || 17654:V2融合世界标签体系/通用分类标签/建筑与基础设施/区/天井/中庭/公共中庭
公共汽车,2,1088:V2融合世界标签体系/通用分类标签/交通工具/轮式车辆/自行式车辆/机动车/机动车/公共汽车 || 1149:V2融合世界标签体系/通用分类标签/交通工具/道路机动车/公共汽车
公制重量单位,2,31383:V2融合世界标签体系/通用分类标签/时间数量与度量/公制单位/公制重量单位 || 31608:V2融合世界标签体系/通用分类标签/时间数量与度量/质量单位/公制重量单位
公制长度单位,2,31385:V2融合世界标签体系/通用分类标签/时间数量与度量/公制单位/公制长度单位 || 31549:V2融合世界标签体系/通用分类标签/时间数量与度量/线性单位/公制长度单位
公告,2,19994:V2融合世界标签体系/通用分类标签/文字与信息图形/陈述/公告 || 19995:V2融合世界标签体系/通用分类标签/文字与信息图形/陈述/公告
公寓楼外部,2,17551:V2融合世界标签体系/通用分类标签/建筑与基础设施/公寓楼外部 || 17552:V2融合世界标签体系/通用分类标签/建筑与基础设施/公寓楼外部
公尺,2,31386:V2融合世界标签体系/通用分类标签/时间数量与度量/公制单位/公制长度单位/公尺 || 31550:V2融合世界标签体系/通用分类标签/时间数量与度量/线性单位/公制长度单位/公尺
公立学校,2,16747:V2融合世界标签体系/通用分类标签/建筑与基础设施/公共服务建筑/学校/公立学校 || 23251:V2融合世界标签体系/通用分类标签/组织机构与社会事件/组织机构/教育机构/公立学校
公路旅行,2,26661:V2融合世界标签体系/通用分类标签/行为动作/旅行/旅程/公路旅行 || 26662:V2融合世界标签体系/通用分类标签/行为动作/旅行/旅程/公路旅行
兰科植物,2,21623:V2融合世界标签体系/通用分类标签/植物/显花植物/开花植物/开花植物/兰科植物 || 21630:V2融合世界标签体系/通用分类标签/植物/显花植物/开花植物/开花植物/兰科植物/兰科植物
共振器,2,7417:V2融合世界标签体系/通用分类标签/人造物体/共振器 || 17614:V2融合世界标签体系/通用分类标签/建筑与基础设施/区/围场/房间/共振器
共管公寓,2,17509:V2融合世界标签体系/通用分类标签/建筑与基础设施/住宅/住处/共管公寓 || 17531:V2融合世界标签体系/通用分类标签/建筑与基础设施/住宅/共管公寓
关头,2,23517:V2融合世界标签体系/通用分类标签/组织机构与社会事件/关头 || 31388:V2融合世界标签体系/通用分类标签/时间数量与度量/关头
具有历史意义的,2,30830:V2融合世界标签体系/通用分类标签/属性与状态/具有历史意义的 || 30831:V2融合世界标签体系/通用分类标签/属性与状态/具有历史意义的
兽群,2,15504:V2融合世界标签体系/通用分类标签/动物/生物类群/动物组/兽群 || 15505:V2融合世界标签体系/通用分类标签/动物/生物类群/动物组/兽群
内紧身胸衣,2,7950:V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/不可言说之物/内紧身胸衣 || 11016:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/不可言说之物/内紧身胸衣
内部,2,30668:V2融合世界标签体系/通用分类标签/声音/频道/声环境/内部 || 30669:V2融合世界标签体系/通用分类标签/声音/频道/声环境/内部
写作,2,19184:V2融合世界标签体系/通用分类标签/文化艺术与媒介/通过心智活动创造/语言创作/写作 || 30134:V2融合世界标签体系/通用分类标签/声音/写作
军号,2,3296:V2融合世界标签体系/通用分类标签/人造物体/中西乐器/管乐器/铜管乐器/军号 || 29936:V2融合世界标签体系/通用分类标签/声音/乐器/铜管乐器/军号
军官,2,2353:V2融合世界标签体系/通用分类标签/人物与人体/劳动者/技术工人/军事人员群体/军官 || 2354:V2融合世界标签体系/通用分类标签/人物与人体/劳动者/技术工人/军事人员群体/军官/军官
军服,2,7817:V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/制服/军服 || 10883:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/制服/军服
军火,2,32858:V2融合世界标签体系/IP 分类标签/地标与武器 IP/武器/军火 || 32863:V2融合世界标签体系/IP 分类标签/地标与武器 IP/武器/军火
军用飞机,2,695:V2融合世界标签体系/通用分类标签/交通工具/军用车/军用飞机 || 987:V2融合世界标签体系/通用分类标签/交通工具/航空器/重于空气航空器/军用飞机
军装,2,7820:V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/制服/军服/军装 || 10886:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/制服/军服/军装
军队,2,2274:V2融合世界标签体系/通用分类标签/人物与人体/军队 || 23524:V2融合世界标签体系/通用分类标签/组织机构与社会事件/军队
军需品,2,7418:V2融合世界标签体系/通用分类标签/人造物体/军需品 || 25123:V2融合世界标签体系/通用分类标签/行为动作/冲突与执法动作/防御/军需品
军鼓,2,3246:V2融合世界标签体系/通用分类标签/人造物体/中西乐器/打击乐器/膜质乐器/军鼓 || 29904:V2融合世界标签体系/通用分类标签/声音/乐器/打击乐/鼓/军鼓
农产品/生产,2,23525:V2融合世界标签体系/通用分类标签/组织机构与社会事件/农产品/生产 || 26156:V2融合世界标签体系/通用分类标签/行为动作/农产品/生产
农场动物,2,12338:V2融合世界标签体系/通用分类标签/动物/哺乳动物/有胎盘的/农场动物 || 15037:V2融合世界标签体系/通用分类标签/动物/农场动物
农舍,2,17412:V2融合世界标签体系/通用分类标签/建筑与基础设施/H类住宅/农舍 || 17486:V2融合世界标签体系/通用分类标签/建筑与基础设施/住宅/住处/H类住宅/农舍
农贸市场,2,16941:V2融合世界标签体系/通用分类标签/建筑与基础设施/商业办公建筑/市场/农贸市场 || 16950:V2融合世界标签体系/通用分类标签/建筑与基础设施/商业办公建筑/市场/市场广场/农贸市场
冠状头饰,2,7848:V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/头具/珠饰头饰/冠状头饰 || 10914:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/头具/珠饰头饰/冠状头饰
冠饰,2,24118:V2融合世界标签体系/通用分类标签/自然景观/冠饰 || 24120:V2融合世界标签体系/通用分类标签/自然景观/冠饰
冥想,2,32034:V2融合世界标签体系/通用分类标签/知识与学科/反射/冥想 || 32035:V2融合世界标签体系/通用分类标签/知识与学科/反射/冥想
冬南瓜,2,21292:V2融合世界标签体系/通用分类标签/植物/草本竹藤植物/藤本植物/南瓜藤/冬南瓜 || 29096:V2融合世界标签体系/通用分类标签/食物/农产品/蔬菜/壁球运动/冬南瓜
冬季运动,2,25949:V2融合世界标签体系/通用分类标签/行为动作/休养/体育/冬季运动 || 26157:V2融合世界标签体系/通用分类标签/行为动作/冬季运动
冬季风暴,2,23863:V2融合世界标签体系/通用分类标签/自然景观/天文天象气象/风暴/冬季风暴 || 26794:V2融合世界标签体系/通用分类标签/行为动作/物理现象/大气现象/冬季风暴
冬瓜,2,21338:V2融合世界标签体系/通用分类标签/植物/草本竹藤植物/藤本植物/葫芦/甜瓜/甜瓜/冬瓜 || 29257:V2融合世界标签体系/通用分类标签/食物/农产品/食用水果/甜瓜/甜瓜/冬瓜
冬青,2,20189:V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/乔木/开花乔木/冬青 || 31477:V2融合世界标签体系/通用分类标签/时间数量与度量/寄生生物/寄生植物/冬青
冬青蕨,2,21416:V2融合世界标签体系/通用分类标签/植物/不开花植物/蕨类植物/冬青蕨 || 21417:V2融合世界标签体系/通用分类标签/植物/不开花植物/蕨类植物/冬青蕨
冰岛罂粟,2,21833:V2融合世界标签体系/通用分类标签/植物/显花植物/开花植物/开花植物/罂粟/冰岛罂粟 || 21834:V2融合世界标签体系/通用分类标签/植物/显花植物/开花植物/开花植物/罂粟/冰岛罂粟
冰川,2,23654:V2融合世界标签体系/通用分类标签/自然景观/冰雪与极地/冰川 || 23870:V2融合世界标签体系/通用分类标签/自然景观/水文水体/冰川
冰洞,2,23739:V2融合世界标签体系/通用分类标签/自然景观/地质地貌/洞穴/冰洞 || 23740:V2融合世界标签体系/通用分类标签/自然景观/地质地貌/洞穴/冰洞
冰球,2,9478:V2融合世界标签体系/通用分类标签/人造物体/机制/旋转机构/回合/光盘/冰球 || 32011:V2融合世界标签体系/通用分类标签/知识与学科/冰球
冰球运动员,2,1635:V2融合世界标签体系/通用分类标签/人物与人体/职业身份/运动员/冰球运动员 || 2526:V2融合世界标签体系/通用分类标签/人物与人体/参赛者/参与者/冰球运动员
冰球队,2,1408:V2融合世界标签体系/通用分类标签/人物与人体/人物关系与群体/团队/运动团队/冰球队 || 26160:V2融合世界标签体系/通用分类标签/行为动作/冰球队
冰雹,2,26162:V2融合世界标签体系/通用分类标签/行为动作/冰雹 || 32012:V2融合世界标签体系/通用分类标签/知识与学科/冰雹
冲击,2,2276:V2融合世界标签体系/通用分类标签/人物与人体/冲击 || 7424:V2融合世界标签体系/通用分类标签/人造物体/减振器/冲击
冲浪板,2,6550:V2融合世界标签体系/通用分类标签/人造物体/益智玩具/冲浪板 || 9079:V2融合世界标签体系/通用分类标签/人造物体/扁平立体/板/冲浪板
决明属植物,2,20122:V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/乔木/决明属植物 || 20223:V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/乔木/开花乔木/月桂/决明属植物
冷却,2,9429:V2融合世界标签体系/通用分类标签/人造物体/机制/冷却 || 26760:V2融合世界标签体系/通用分类标签/行为动作/温度变化/冷却
冷杉,2,20039:V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/针叶树/冷杉 || 31796:V2融合世界标签体系/通用分类标签/材料与物质/植物材料/木/冷杉
冻酸奶,2,29761:V2融合世界标签体系/通用分类标签/食物/路线/点心/冷冻甜点/冻酸奶 || 29793:V2融合世界标签体系/通用分类标签/食物/酸奶/冻酸奶
净水器,2,7196:V2融合世界标签体系/通用分类标签/人造物体/仪器/净水器 || 7422:V2融合世界标签体系/通用分类标签/人造物体/净水器
凉鞋,2,6114:V2融合世界标签体系/通用分类标签/人造物体/服饰全品/凉鞋 || 11366:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/足部装备/鞋/凉鞋
凝乳,2,28317:V2融合世界标签体系/通用分类标签/食物/肉蛋奶食材/乳制品/凝乳 || 29812:V2融合世界标签体系/通用分类标签/食物/食品/凝乳
凝视,2,26167:V2融合世界标签体系/通用分类标签/行为动作/凝视 || 26479:V2融合世界标签体系/通用分类标签/行为动作/感觉活动/感测/观看/凝视
几内亚胡椒,2,20124:V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/乔木/几内亚胡椒 || 22296:V2融合世界标签体系/通用分类标签/植物/草本植物/几内亚胡椒
凤头鹦鹉,2,14995:V2融合世界标签体系/通用分类标签/动物/鸟类/鹦鹉/凤头鹦鹉 || 14998:V2融合世界标签体系/通用分类标签/动物/鸟类/鹦鹉/凤头鹦鹉
凸耳,2,7626:V2融合世界标签体系/通用分类标签/人造物体/台布/一块布/帆/纵帆/凸耳 || 17939:V2融合世界标签体系/通用分类标签/建筑与基础设施/投影/凸耳
出卖,2,26168:V2融合世界标签体系/通用分类标签/行为动作/出卖 || 26171:V2融合世界标签体系/通用分类标签/行为动作/出卖
出席,2,26175:V2融合世界标签体系/通用分类标签/行为动作/出席 || 30837:V2融合世界标签体系/通用分类标签/属性与状态/出席
击打,2,26373:V2融合世界标签体系/通用分类标签/行为动作/完成/成就/成功/击打 || 26974:V2融合世界标签体系/通用分类标签/行为动作/触摸/击打
击球手,2,1650:V2融合世界标签体系/通用分类标签/人物与人体/职业身份/运动员/棒球手/击球手 || 29823:V2融合世界标签体系/通用分类标签/食物/食品/混合物/击球手
