标签名,出现次数,位置(行号:路径)
摄影,2,17189:V2融合世界标签体系/通用分类标签/文化艺术与媒介/摄影 || 23278:V2融合世界标签体系/通用分类标签/行为动作/休闲娱乐动作/摄影
摄影闪光灯,2,7062:V2融合世界标签体系/通用分类标签/人造物体/光源/灯/摄影闪光灯 || 8736:V2融合世界标签体系/通用分类标签/人造物体/摄影设备/摄影闪光灯
摩卡,2,26977:V2融合世界标签体系/通用分类标签/食物/饮品类/咖啡/摩卡 || 27965:V2融合世界标签体系/通用分类标签/食物/调味剂/摩卡
摩天轮,2,8946:V2融合世界标签体系/通用分类标签/人造物体/机制/旋转机构/摩天轮 || 8956:V2融合世界标签体系/通用分类标签/人造物体/机制/机械装置/乘坐/摩天轮
摩托车,2,823:V2融合世界标签体系/通用分类标签/交通工具/摩托车 || 1081:V2融合世界标签体系/通用分类标签/交通工具/道路机动车/摩托车
播种机,2,7970:V2融合世界标签体系/通用分类标签/人造物体/器具/厨房用具/播种机 || 8993:V2融合世界标签体系/通用分类标签/人造物体/机制/机械装置/播种机
擦子,2,7839:V2融合世界标签体系/通用分类标签/人造物体/器具/擦子 || 7972:V2融合世界标签体系/通用分类标签/人造物体/器具/厨房用具/擦子
攀岩,2,23443:V2融合世界标签体系/通用分类标签/行为动作/休闲娱乐动作/攀岩 || 24489:V2融合世界标签体系/通用分类标签/行为动作/休养/体育/攀岩
攀登者,2,1465:V2融合世界标签体系/通用分类标签/人物与人体/职业身份/运动员/攀登者 || 19885:V2融合世界标签体系/通用分类标签/植物/草本竹藤植物/藤本植物/攀登者
收割机,2,2251:V2融合世界标签体系/通用分类标签/人物与人体/劳动者/职员/劳动男子/体力劳动者/帮工/农场工人/收割机 || 9070:V2融合世界标签体系/通用分类标签/人造物体/机器/农业机器/收割机
收纳箱,2,4545:V2融合世界标签体系/通用分类标签/人造物体/家具大件/收纳箱 || 8342:V2融合世界标签体系/通用分类标签/人造物体/容器/收纳箱
收获,2,23869:V2融合世界标签体系/通用分类标签/行为动作/工作学习动作/收获 || 25074:V2融合世界标签体系/通用分类标签/行为动作/收获
收藏家,2,2226:V2融合世界标签体系/通用分类标签/人物与人体/劳动者/收藏家 || 2550:V2融合世界标签体系/通用分类标签/人物与人体/收藏家
收银机,2,8370:V2融合世界标签体系/通用分类标签/人造物体/容器/盒子/保险箱/储钱罐/收银机 || 28275:V2融合世界标签体系/通用分类标签/声音/事物声音/机制/收银机
改革者,2,1772:V2融合世界标签体系/通用分类标签/人物与人体/争论者/改革者 || 6878:V2融合世界标签体系/通用分类标签/人造物体/仪器/改革者
放大器,2,6813:V2融合世界标签体系/通用分类标签/人造物体/乐器/器械/科学仪器/放大器 || 9795:V2融合世界标签体系/通用分类标签/人造物体/电子设备/放大器
救命者,2,2130:V2融合世界标签体系/通用分类标签/人物与人体/劳动者/助手/出席者/救命者 || 8873:V2融合世界标签体系/通用分类标签/人造物体/救援设备/保护者/救命者
教区,2,24320:V2融合世界标签体系/通用分类标签/行为动作/社交互动动作/聚会/社区/教区 || 30106:V2融合世界标签体系/通用分类标签/知识与学科/地区/管辖权/教区
教学,2,23878:V2融合世界标签体系/通用分类标签/行为动作/工作学习动作/教学 || 24891:V2融合世界标签体系/通用分类标签/行为动作/岗位/职业/教学
教师,2,1600:V2融合世界标签体系/通用分类标签/人物与人体/职业身份/教师 || 30968:V2融合世界标签体系/IP 分类标签/真人与人物 IP/科学文化人物/教育家/教师
教授,2,2373:V2融合世界标签体系/通用分类标签/人物与人体/坏人/作恶者/校长/犯人/小偷/掠夺者/海盗/教授 || 30967:V2融合世界标签体系/IP 分类标签/真人与人物 IP/科学文化人物/教育家/专科院校的/教授
散步,2,23224:V2融合世界标签体系/通用分类标签/行为动作/交通出行动作/步行/散步 || 25088:V2融合世界标签体系/通用分类标签/行为动作/旅行/散步
散步道,2,23225:V2融合世界标签体系/通用分类标签/行为动作/交通出行动作/步行/散步道 || 24386:V2融合世界标签体系/通用分类标签/行为动作/艺术表演动作/舞蹈/散步道
散热器,2,6988:V2融合世界标签体系/通用分类标签/人造物体/保温器/散热器 || 8931:V2融合世界标签体系/通用分类标签/人造物体/机制/散热器
数字,2,17945:V2融合世界标签体系/通用分类标签/文字与信息图形/数字与编码/数字 || 23134:V2融合世界标签体系/通用分类标签/节日与符号/文字与语言符号/数字
敲击声,2,28624:V2融合世界标签体系/通用分类标签/声音/敲击声 || 28657:V2融合世界标签体系/通用分类标签/声音/来源不明声音/通用撞击声/敲击声
文件夹,2,3245:V2融合世界标签体系/通用分类标签/人造物体/办公文具/文件夹 || 10283:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/折叠物/文件夹
文学作品,2,17554:V2融合世界标签体系/通用分类标签/文化艺术与媒介/文学作品 || 18161:V2融合世界标签体系/通用分类标签/文字与信息图形/书面交流/文学作品
文章,2,8884:V2融合世界标签体系/通用分类标签/人造物体/文章 || 18180:V2融合世界标签体系/通用分类标签/文字与信息图形/书面交流/部分/文章
文身,2,9483:V2融合世界标签体系/通用分类标签/人造物体/点缀/人物形象/文身 || 18242:V2融合世界标签体系/通用分类标签/文字与信息图形/信号/文身
斑块,2,9489:V2融合世界标签体系/通用分类标签/人造物体/点缀/人物形象/标记行为/斑点/斑块 || 15725:V2融合世界标签体系/通用分类标签/建筑与基础设施/历史古迹地标/纪念碑/斑块
斑点钝口螈,2,10741:V2融合世界标签体系/通用分类标签/动物/两栖动物/火蜥蜴/斑点钝口螈 || 10750:V2融合世界标签体系/通用分类标签/动物/两栖动物/火蜥蜴/钝口螈/斑点钝口螈
斗牛,2,17755:V2融合世界标签体系/通用分类标签/文化艺术与媒介/表征/斗牛 || 24512:V2融合世界标签体系/通用分类标签/行为动作/休养/体育/血腥运动/斗牛
新婚夫妇,2,21885:V2融合世界标签体系/通用分类标签/组织机构与社会事件/亲戚/新婚夫妇 || 24289:V2融合世界标签体系/通用分类标签/行为动作/社交互动动作/聚会/一双/新婚夫妇
新郎,2,1228:V2融合世界标签体系/通用分类标签/人物与人体/人物关系与群体/同事/参与者/新郎 || 1813:V2融合世界标签体系/通用分类标签/人物与人体/亲属/伙伴/新婚/新郎
旅人,2,2584:V2融合世界标签体系/通用分类标签/人物与人体/旅行者/旅人 || 2590:V2融合世界标签体系/通用分类标签/人物与人体/旅行者/步行的人/旅人
旅游巴士,2,720:V2融合世界标签体系/通用分类标签/交通工具/公共运输/公交车/旅游巴士 || 737:V2融合世界标签体系/通用分类标签/交通工具/公共运输/旅游巴士
旋转磨石,2,7828:V2融合世界标签体系/通用分类标签/人造物体/器具/削尖器/旋转磨石 || 8495:V2融合世界标签体系/通用分类标签/人造物体/建材/石头/旋转磨石
旋转轴,2,7863:V2融合世界标签体系/通用分类标签/人造物体/器具/杆/旋转轴 || 8950:V2融合世界标签体系/通用分类标签/人造物体/机制/旋转轴
族长,2,1395:V2融合世界标签体系/通用分类标签/人物与人体/性别与生理属性/男性/成年雄性/族长 || 1800:V2融合世界标签体系/通用分类标签/人物与人体/亲属/长辈/父亲/族长
旗杆,2,7852:V2融合世界标签体系/通用分类标签/人造物体/器具/木条/工作人员群体/旗杆 || 7868:V2融合世界标签体系/通用分类标签/人造物体/器具/杆/旗杆
无人机,2,344:V2融合世界标签体系/通用分类标签/交通工具/空中飞行器/无人机 || 6095:V2融合世界标签体系/通用分类标签/人造物体/机器人与智能设备/无人机
无檐便帽,2,5745:V2融合世界标签体系/通用分类标签/人造物体/服饰全品/帽子/无檐便帽 || 20948:V2融合世界标签体系/通用分类标签/植物/草本植物/无檐便帽
无线电话,2,8108:V2融合世界标签体系/通用分类标签/人造物体/媒介/电信/无线的/无线电话 || 9807:V2融合世界标签体系/通用分类标签/人造物体/电子设备/电话/无线电话
无花果,2,18927:V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/乔木/无花果树/无花果 || 27547:V2融合世界标签体系/通用分类标签/食物/农产品/食用水果/无花果
日出,2,21939:V2融合世界标签体系/通用分类标签/组织机构与社会事件/周期性事件/日出 || 23404:V2融合世界标签体系/通用分类标签/行为动作/休闲娱乐动作/阅读/时候/小时/日出
日历,2,18456:V2融合世界标签体系/通用分类标签/文字与信息图形/数据库/列表/日历 || 30062:V2融合世界标签体系/通用分类标签/知识与学科/列阵/桌子/日历
旱金莲,2,20950:V2融合世界标签体系/通用分类标签/植物/草本植物/旱金莲 || 27966:V2融合世界标签体系/通用分类标签/食物/调味剂/旱金莲
时钟,2,6727:V2融合世界标签体系/通用分类标签/人造物体/乐器/器械/仪器/时计/时钟 || 28276:V2融合世界标签体系/通用分类标签/声音/事物声音/机制/时钟
昆虫,2,14126:V2融合世界标签体系/通用分类标签/动物/无脊椎动物/节肢动物/昆虫 || 28634:V2融合世界标签体系/通用分类标签/声音/昆虫
星云,2,22380:V2融合世界标签体系/通用分类标签/自然景观/天文天象气象/云/星云 || 29826:V2融合世界标签体系/通用分类标签/材料与物质/化合物/配制品/星云
春卷,2,25539:V2融合世界标签体系/通用分类标签/食物/中式主食面点/春卷 || 27236:V2融合世界标签体系/通用分类标签/食物/一道菜/春卷
显微镜,2,3798:V2融合世界标签体系/通用分类标签/人造物体/医疗器械/显微镜 || 6814:V2融合世界标签体系/通用分类标签/人造物体/乐器/器械/科学仪器/放大器/显微镜
显示器,2,5522:V2融合世界标签体系/通用分类标签/人造物体/数码 3C 电子/显示器 || 9742:V2融合世界标签体系/通用分类标签/人造物体/电子器件/指示器/显示器
暗褐色,2,11151:V2融合世界标签体系/通用分类标签/动物/哺乳动物/马科动物/家马/坐骑/暗褐色 || 29421:V2融合世界标签体系/通用分类标签/属性与状态/视觉属性/颜色/彩色/棕色/浅棕色/暗褐色
暴露癖者,2,1732:V2融合世界标签体系/通用分类标签/人物与人体/不受欢迎的人/令人不快的人/利己主义者/暴露癖者 || 2503:V2融合世界标签体系/通用分类标签/人物与人体/强迫性人格者/暴露癖者
暴风雪,2,22472:V2融合世界标签体系/通用分类标签/自然景观/天文天象气象/风暴/暴风雪 || 25212:V2融合世界标签体系/通用分类标签/行为动作/物理现象/大气现象/暴风雪
月饼,2,23111:V2融合世界标签体系/通用分类标签/节日与符号/庆典仪式元素/蛋糕/月饼 || 26306:V2融合世界标签体系/通用分类标签/食物/烘焙甜品点心/月饼
朋克摇滚,2,18317:V2融合世界标签体系/通用分类标签/文字与信息图形/听觉交流/音乐流派/摇滚音乐/朋克摇滚 || 18579:V2融合世界标签体系/通用分类标签/文字与信息图形/表现风格/音乐流派/通俗音乐/朋克摇滚
服务器机房,2,16533:V2融合世界标签体系/通用分类标签/建筑与基础设施/区/室/服务器机房 || 16571:V2融合世界标签体系/通用分类标签/建筑与基础设施/区/服务器机房
服装,2,7515:V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/打扮/服装 || 7520:V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/服装
朝圣者,2,2456:V2融合世界标签体系/通用分类标签/人物与人体/宗教人士/信仰者/朝圣者 || 2585:V2融合世界标签体系/通用分类标签/人物与人体/旅行者/旅人/朝圣者
朝鲜蓟,2,21086:V2融合世界标签体系/通用分类标签/植物/草本植物/蔬菜/朝鲜蓟 || 27468:V2融合世界标签体系/通用分类标签/食物/农产品/蔬菜/朝鲜蓟
木偶,2,9603:V2融合世界标签体系/通用分类标签/人造物体/玩具/娃娃/木偶 || 17704:V2融合世界标签体系/通用分类标签/文化艺术与媒介/表征/仿真/人物/木偶
木兰,2,18820:V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/乔木/开花乔木/木兰 || 22799:V2融合世界标签体系/通用分类标签/自然景观/天然覆盖物/树皮/木兰
木勺,2,4006:V2融合世界标签体系/通用分类标签/人造物体/厨房餐厨用品/餐具/勺/木勺 || 18220:V2融合世界标签体系/通用分类标签/文字与信息图形/信号/代号/奖项/奖品/安慰奖/木勺
木墙,2,16350:V2融合世界标签体系/通用分类标签/建筑与基础设施/分隔物/墙/木墙 || 16359:V2融合世界标签体系/通用分类标签/建筑与基础设施/分隔物/木墙
木屐,2,7755:V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/鞋子/木屐 || 10308:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/足部装备/木屐
木工,2,854:V2融合世界标签体系/通用分类标签/交通工具/木工 || 2197:V2融合世界标签体系/通用分类标签/人物与人体/劳动者/技术工人/匠人/木工
木炭,2,29746:V2融合世界标签体系/通用分类标签/材料与物质/元素/碳/木炭 || 29962:V2融合世界标签体系/通用分类标签/材料与物质/燃料/木炭
木瓜,2,18837:V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/乔木/开花乔木/果树/木瓜 || 27552:V2融合世界标签体系/通用分类标签/食物/农产品/食用水果/木瓜
木芙蓉,2,19239:V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/灌木/锦葵/木槿属植物/木芙蓉 || 20379:V2融合世界标签体系/通用分类标签/植物/显花植物/开花植物/木芙蓉
木茼蒿,2,19112:V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/灌木/亚灌木/木茼蒿 || 20380:V2融合世界标签体系/通用分类标签/植物/显花植物/开花植物/木茼蒿
机动动作,2,25126:V2融合世界标签体系/通用分类标签/行为动作/机动动作 || 25419:V2融合世界标签体系/通用分类标签/行为动作/选择/决定/机动动作
机器,2,8994:V2融合世界标签体系/通用分类标签/人造物体/机制/机械装置/机器 || 9048:V2融合世界标签体系/通用分类标签/人造物体/机器
机械师,2,2145:V2融合世界标签体系/通用分类标签/人物与人体/劳动者/技术工人/修理工/机械师 || 2199:V2融合世界标签体系/通用分类标签/人物与人体/劳动者/技术工人/匠人/机械师
杂技,2,17286:V2融合世界标签体系/通用分类标签/文化艺术与媒介/舞台表演/杂技 || 24345:V2融合世界标签体系/通用分类标签/行为动作/艺术表演动作/杂技
杂烩,2,27237:V2融合世界标签体系/通用分类标签/食物/一道菜/杂烩 || 27286:V2融合世界标签体系/通用分类标签/食物/一道菜/炖菜/杂烩
杂用间,2,16534:V2融合世界标签体系/通用分类标签/建筑与基础设施/区/室/杂用间 || 16572:V2融合世界标签体系/通用分类标签/建筑与基础设施/区/杂用间
李子,2,18838:V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/乔木/开花乔木/果树/李子 || 27554:V2融合世界标签体系/通用分类标签/食物/农产品/食用水果/李子
杏,2,18842:V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/乔木/开花乔木/果树/杏 || 27556:V2融合世界标签体系/通用分类标签/食物/农产品/食用水果/杏
杏仁,2,22946:V2融合世界标签体系/通用分类标签/自然景观/植物结构/植物器官/生殖结构/果子/核果/杏仁 || 22973:V2融合世界标签体系/通用分类标签/自然景观/植物结构/植物器官/生殖结构/果子/种子/坚果/食用坚果/杏仁
杜宾犬,2,10932:V2融合世界标签体系/通用分类标签/动物/哺乳动物/犬科动物/家犬/工作犬/护卫犬/宾莎犬/杜宾犬 || 14392:V2融合世界标签体系/通用分类标签/动物/生物类群/动物组/品种/杜宾犬
杜松子,2,22944:V2融合世界标签体系/通用分类标签/自然景观/植物结构/植物器官/生殖结构/果子/杜松子 || 27967:V2融合世界标签体系/通用分类标签/食物/调味剂/杜松子
杜林标利口酒,2,27806:V2融合世界标签体系/通用分类标签/食物/致醉物/利口酒/杜林标利口酒 || 27845:V2融合世界标签体系/通用分类标签/食物/致醉物/烈性酒/威士忌/苏格兰威士忌/杜林标利口酒
条带,2,8476:V2融合世界标签体系/通用分类标签/人造物体/建材/制材/条带 || 9180:V2融合世界标签体系/通用分类标签/人造物体/条带
松果菊,2,20199:V2融合世界标签体系/通用分类标签/植物/显花植物/开花植物/野花/松果菊 || 20381:V2融合世界标签体系/通用分类标签/植物/显花植物/开花植物/松果菊
松焦油抹布,2,6949:V2融合世界标签体系/通用分类标签/人造物体/体育器材/棒球器材/松焦油抹布 || 7260:V2融合世界标签体系/通用分类标签/人造物体/台布/一块布/破布/松焦油抹布
松香草,2,20350:V2融合世界标签体系/通用分类标签/植物/显花植物/开花植物/复合材料/罗盘草/松香草 || 20958:V2融合世界标签体系/通用分类标签/植物/草本植物/松香草
松香袋,2,6950:V2融合世界标签体系/通用分类标签/人造物体/体育器材/棒球器材/松香袋 || 8148:V2融合世界标签体系/通用分类标签/人造物体/容器/包/松香袋
板岩,2,8070:V2融合世界标签体系/通用分类标签/人造物体/块状物/厚板/平板设备/板岩 || 29869:V2融合世界标签体系/通用分类标签/材料与物质/岩石/板岩
板球,2,6928:V2融合世界标签体系/通用分类标签/人造物体/体育器材/板球装备/板球 || 9406:V2融合世界标签体系/通用分类标签/人造物体/游戏器材/球/板球
板球运动,2,14199:V2融合世界标签体系/通用分类标签/动物/无脊椎动物/节肢动物/昆虫/直翅目昆虫/板球运动 || 28636:V2融合世界标签体系/通用分类标签/声音/昆虫/板球运动
板球运动员,2,1473:V2融合世界标签体系/通用分类标签/人物与人体/职业身份/运动员/板球运动员 || 2327:V2融合世界标签体系/通用分类标签/人物与人体/参赛者/板球运动员
果冻,2,26315:V2融合世界标签体系/通用分类标签/食物/烘焙甜品点心/果冻 || 28135:V2融合世界标签体系/通用分类标签/食物/甜食/果酱/果酱蜜饯/果冻
果皮,2,22797:V2融合世界标签体系/通用分类标签/自然景观/天然覆盖物/果皮 || 30838:V2融合世界标签体系/IP 分类标签/真人与人物 IP/历史古人/政治家/果皮
枣,2,19194:V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/灌木/枣 || 27558:V2融合世界标签体系/通用分类标签/食物/农产品/食用水果/枣
枪托底部,2,6930:V2融合世界标签体系/通用分类标签/人造物体/体育器材/枪托底部 || 17583:V2融合世界标签体系/通用分类标签/文化艺术与媒介/枪托底部
枫树,2,18893:V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/乔木/开花乔木/枫树 || 18936:V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/乔木/枫树
柏树,2,18679:V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/针叶树/柏树 || 29899:V2融合世界标签体系/通用分类标签/材料与物质/植物材料/木/柏树
柏油碎石,2,6848:V2融合世界标签体系/通用分类标签/人造物体/人行道/柏油碎石 || 10065:V2融合世界标签体系/通用分类标签/人造物体/表面/水平仪/铺装表面/柏油碎石
柑橘属,2,18844:V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/乔木/开花乔木/果树/柑橘属 || 27559:V2融合世界标签体系/通用分类标签/食物/农产品/食用水果/柑橘属
染发,2,25232:V2融合世界标签体系/通用分类标签/行为动作/状态变化/染发 || 29890:V2融合世界标签体系/通用分类标签/材料与物质/染色材料/染料/染发
柠檬,2,18852:V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/乔木/开花乔木/果树/柑橘属/柠檬 || 27566:V2融合世界标签体系/通用分类标签/食物/农产品/食用水果/柑橘属/柠檬
柱子,2,8833:V2融合世界标签体系/通用分类标签/人造物体/支持/结构构件/垂直方向/柱子 || 30275:V2融合世界标签体系/通用分类标签/知识与学科/知识/主意/概括/柱子
柳兰,2,20542:V2融合世界标签体系/通用分类标签/植物/杂草/柳兰 || 20963:V2融合世界标签体系/通用分类标签/植物/草本植物/柳兰
柿子,2,18856:V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/乔木/开花乔木/果树/柿子 || 27591:V2融合世界标签体系/通用分类标签/食物/农产品/食用水果/浆果/柿子
标枪,2,6933:V2融合世界标签体系/通用分类标签/人造物体/体育器材/标枪 || 10630:V2融合世界标签体系/通用分类标签/人造物体/武器/导弹/标枪
标签,2,18235:V2融合世界标签体系/通用分类标签/文字与信息图形/信号/代号/记号笔/标签 || 30180:V2融合世界标签体系/通用分类标签/知识与学科/描述/标签
标记,2,18205:V2融合世界标签体系/通用分类标签/文字与信息图形/信号/代号/书写符号/标记 || 18415:V2融合世界标签体系/通用分类标签/文字与信息图形/指示/标记
栎树,2,18761:V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/乔木/奎拉树/栎树 || 18939:V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/乔木/栎树
树懒,2,11582:V2融合世界标签体系/通用分类标签/动物/哺乳动物/有胎盘的/贫齿类动物/树懒 || 28997:V2融合世界标签体系/通用分类标签/属性与状态/个性/不情愿/树懒
树枝,2,22572:V2融合世界标签体系/通用分类标签/自然景观/水文水体/溪流/树枝 || 29710:V2融合世界标签体系/通用分类标签/时间数量与度量/行政单位/树枝
树根,2,22910:V2融合世界标签体系/通用分类标签/自然景观/植物结构/植物器官/树根 || 22913:V2融合世界标签体系/通用分类标签/自然景观/植物结构/植物器官/根/树根
树皮,2,14013:V2融合世界标签体系/通用分类标签/动物/宠物/狗/树皮 || 22798:V2融合世界标签体系/通用分类标签/自然景观/天然覆盖物/树皮
树麻雀,2,13426:V2融合世界标签体系/通用分类标签/动物/鸟类/鸣禽/雀科鸟/新世界雀鹀/树麻雀 || 13764:V2融合世界标签体系/通用分类标签/动物/鸟类/雀形目鸟类/雀科鸟类/树麻雀
核桃,2,18805:V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/乔木/开花乔木/坚果树/核桃 || 22976:V2融合世界标签体系/通用分类标签/自然景观/植物结构/植物器官/生殖结构/果子/种子/坚果/食用坚果/核桃
根,2,22911:V2融合世界标签体系/通用分类标签/自然景观/植物结构/植物器官/根 || 29483:V2融合世界标签体系/通用分类标签/时间数量与度量/一定量/根
格子,2,7328:V2融合世界标签体系/通用分类标签/人造物体/台布/格子 || 16751:V2融合世界标签体系/通用分类标签/建筑与基础设施/支承结构/构架/格子
格架,2,16752:V2融合世界标签体系/通用分类标签/建筑与基础设施/支承结构/构架/格子/格架 || 16753:V2融合世界标签体系/通用分类标签/建筑与基础设施/支承结构/构架/格架
桃,2,18858:V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/乔木/开花乔木/果树/桃 || 27575:V2融合世界标签体系/通用分类标签/食物/农产品/食用水果/桃
桌子,2,9221:V2融合世界标签体系/通用分类标签/人造物体/桌子 || 30061:V2融合世界标签体系/通用分类标签/知识与学科/列阵/桌子
桌布,2,4143:V2融合世界标签体系/通用分类标签/人造物体/厨房餐厨用品/桌布 || 7794:V2融合世界标签体系/通用分类标签/人造物体/商品/纺织品/大型白色家电/亚麻制品/餐桌布草/桌布
桌游,2,6306:V2融合世界标签体系/通用分类标签/人造物体/益智玩具/桌游 || 23362:V2融合世界标签体系/通用分类标签/行为动作/休闲娱乐动作/游戏/室内聚会游戏/桌游
桥,2,16836:V2融合世界标签体系/通用分类标签/建筑与基础设施/桥 || 23381:V2融合世界标签体系/通用分类标签/行为动作/休闲娱乐动作/游戏/纸牌游戏/桥
梅多克葡萄酒,2,27890:V2融合世界标签体系/通用分类标签/食物/致醉物/葡萄酒/波尔多/梅多克葡萄酒 || 27913:V2融合世界标签体系/通用分类标签/食物/致醉物/葡萄酒/红葡萄酒/梅多克葡萄酒
梨,2,18860:V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/乔木/开花乔木/果树/梨 || 27576:V2融合世界标签体系/通用分类标签/食物/农产品/食用水果/梨
棉绒草,2,20343:V2融合世界标签体系/通用分类标签/植物/显花植物/开花植物/复合材料/永久花/棉绒草 || 20967:V2融合世界标签体系/通用分类标签/植物/草本植物/棉绒草
棉花,2,19421:V2融合世界标签体系/通用分类标签/植物/农作物/棉花 || 29914:V2融合世界标签体系/通用分类标签/材料与物质/植物材料/植物产品/植物纤维/棉花
棍棒,2,6934:V2融合世界标签体系/通用分类标签/人造物体/体育器材/棍棒 || 7895:V2融合世界标签体系/通用分类标签/人造物体/器具/棍棒
棒球投手,2,1488:V2融合世界标签体系/通用分类标签/人物与人体/职业身份/运动员/棒球手/棒球投手 || 2532:V2融合世界标签体系/通用分类标签/人物与人体/投掷者/棒球投手
棕榈,2,2285:V2融合世界标签体系/通用分类标签/人物与人体/区域/棕榈 || 18990:V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/乔木/棕榈
森林,2,15009:V2融合世界标签体系/通用分类标签/场景/自然户外场景/森林 || 22658:V2融合世界标签体系/通用分类标签/自然景观/生态环境/森林
椅子,2,8032:V2融合世界标签体系/通用分类标签/人造物体/坐椅/椅子 || 8792:V2融合世界标签体系/通用分类标签/人造物体/支持/座位/椅子
椽子,2,2586:V2融合世界标签体系/通用分类标签/人物与人体/旅行者/椽子 || 8854:V2融合世界标签体系/通用分类标签/人造物体/支持/结构构件/栋梁/椽子
楔子,2,6971:V2融合世界标签体系/通用分类标签/人造物体/体育器材/高尔夫器材/俱乐部/铁/楔子 || 29030:V2融合世界标签体系/通用分类标签/属性与状态/人物形象/平面图形/多角形/三角/楔子
榨汁机,2,2025:V2融合世界标签体系/通用分类标签/人物与人体/使用者/消费者/榨汁机 || 4899:V2融合世界标签体系/通用分类标签/人造物体/家用电器/榨汁机
榴莲,2,18861:V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/乔木/开花乔木/果树/榴莲 || 27578:V2融合世界标签体系/通用分类标签/食物/农产品/食用水果/榴莲
槌棒,2,6953:V2融合世界标签体系/通用分类标签/人造物体/体育器材/槌球装备/槌棒 || 7805:V2融合世界标签体系/通用分类标签/人造物体/器具/体育用具/木槌/槌棒
槌球,2,6954:V2融合世界标签体系/通用分类标签/人造物体/体育器材/槌球装备/槌球 || 9408:V2融合世界标签体系/通用分类标签/人造物体/游戏器材/球/槌球
模具,2,8080:V2融合世界标签体系/通用分类标签/人造物体/块状物/立方体/模具 || 8563:V2融合世界标签体系/通用分类标签/人造物体/成形工具/模具
横向稳定杆,2,7927:V2融合世界标签体系/通用分类标签/人造物体/器具/棒/横向稳定杆 || 9875:V2融合世界标签体系/通用分类标签/人造物体/稳定器/横向稳定杆
橄榄球,2,9409:V2融合世界标签体系/通用分类标签/人造物体/游戏器材/球/橄榄球 || 23316:V2融合世界标签体系/通用分类标签/行为动作/休闲娱乐动作/游戏/体育游戏/户外游戏/场地运动/橄榄球
橄榄球运动员,2,1490:V2融合世界标签体系/通用分类标签/人物与人体/职业身份/运动员/橄榄球运动员 || 2316:V2融合世界标签体系/通用分类标签/人物与人体/参赛者/参与者/橄榄球运动员
橙顶灶莺,2,13396:V2融合世界标签体系/通用分类标签/动物/鸟类/鸣禽/莺类鸣禽/新世界林莺/橙顶灶莺 || 13778:V2融合世界标签体系/通用分类标签/动物/鸟类/雀形目鸟类/霸鹟科鸟类/橙顶灶莺
檀香李,2,19020:V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/乔木/檀香李 || 22950:V2融合世界标签体系/通用分类标签/自然景观/植物结构/植物器官/生殖结构/果子/檀香李
欧楂果,2,19021:V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/乔木/欧楂果 || 27584:V2融合世界标签体系/通用分类标签/食物/农产品/食用水果/欧楂果
欧洲酸樱桃,2,18868:V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/乔木/开花乔木/果树/樱桃/欧洲酸樱桃 || 22951:V2融合世界标签体系/通用分类标签/自然景观/植物结构/植物器官/生殖结构/果子/欧洲酸樱桃
歌唱,2,24811:V2融合世界标签体系/通用分类标签/行为动作/声乐/歌唱 || 28341:V2融合世界标签体系/通用分类标签/声音/人类声音/人声/歌唱
步行者,2,1504:V2融合世界标签体系/通用分类标签/人物与人体/职业身份/运动员/赛跑者/一英里赛跑运动员/四分钟一英里者/步行者 || 10344:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/足部装备/鞋/步行者
武器,2,10608:V2融合世界标签体系/通用分类标签/人造物体/武器 || 30751:V2融合世界标签体系/IP 分类标签/地标与武器 IP/武器
武术,2,23470:V2融合世界标签体系/通用分类标签/行为动作/休闲娱乐动作/武术 || 24630:V2融合世界标签体系/通用分类标签/行为动作/保护/自卫/武术
